id,answer_number,answer_content,question_id,next_questions
1,1,March/Parade,1,[]
2,2,Rally/Demonstration,1,[]
3,3,Strike,1,[]
4,4,Blocking Action,1,[]
5,5,Establishing a Camp,1,[2]
6,6,Moving a camp to a new location,1,[]
7,7,Disrupting an on-going event of the perceived 1%,1,[]
8,8,Divestment Action,1,[3]
9,9,Voluntary Dissolution of a camp,1,[]
10,10,Strategic Violence,1,[]
11,11,Strategic Sabotage,1,[5]
12,1,Sidewalk,2,[]
13,2,Street,2,[]
14,3,Public transportation,2,[]
15,4,Airport,2,[]
16,5,Shipping port,2,[]
17,6,Other,2,[]
18,1,Political campaign,3,[4]
19,2,Politician's speech,3,[4]
20,3,City council meeting,3,[4]
21,4,Auction,3,[4]
22,5,Country Club event,3,[4]
23,6,Other,3,[4]
24,1,CEO of a company,4,[]
25,2,City mayor,4,[]
26,3,City council member,4,[]
27,4,State legislator,4,[]
28,5,U.S. president,4,[]
29,6,Other,4,[]
30,1,Kidnapping,5,[]
31,2,Assassination,5,[]
32,3,Bombing,5,[]
33,4,Assault,5,[]
34,5,Other,5,[]
35,1,Pre-planned vandalism,6,[]
36,2,Pre-planned arson,6,[]
37,3,Other,6,[]
38,1,The exact location or address,7,[8]
39,2,"An approximate location, or clues about where the event took place",7,[9]
40,3,Information not given,7,[]
41,1,Local bank,9,[]
42,2,Local park,9,[]
43,3,Near protester camp,9,[]
44,4,Downtown,9,[]
45,5,Near City Hall,9,[]
46,6,Other,9,[]
47,1,The exact number,10,[11]
48,2,An approximate number,10,[12]
49,3,Information not given,10,[]
50,1,"""A few,"" ""a handful,"" ""a small group"": 2-5",12,[13]
51,2,"""Several,"" ""a groupâ€ù: 6-10",12,[13]
52,3,"""A dozen (or so)â€ù: 11-20",12,[13]
53,4,"""A small crowd,"" ""a couple dozenâ€ù: 21-35",12,[13]
54,5,"""A crowdâ€ù: 36-75",12,[13]
55,6,"""A large crowd,"" ""a hundred or soâ€ù: 76-150",12,[13]
56,7,"""A mass,"" ""hundreds"": 151-500",12,[13]
57,8,"""Several hundredâ€ù: 501-850",12,[13]
58,9,"""About a thousand"": 851-1,300",12,[13]
59,10,"â€œThousands,â€ù â€œa few thousandâ€ù: 1,301-4,500",12,[13]
60,11,"""Several thousand"": 4,501-8,500",12,[13]
61,12,"""Around ten thousand"": 8,501-12,000",12,[13]
62,13,"""Well over ten thousand"": 12,001-20,000",12,[13]
63,14,"""Tens of thousands"": 20,001-90,000",12,[13]
64,15,"â€œHundreds of thousandsâ€ù: 100,000 or more",12,[13]
65,1,Media,13,[]
66,2,Police,13,[]
67,3,City official,13,[]
68,4,Protester,13,[]
69,5,"Citizen or other person not affiliated with the camp, media, police, or city",13,[]
70,6,Information not given,13,[]
71,7,Other,13,[]
72,1,The exact number,14,[15]
73,2,An approximate number,14,[16]
74,3,Information not given,14,[]
75,1,"""A few,"" ""a handful,"" ""a small group"": 2-5",16,[17]
76,2,"""Several,"" ""a groupâ€ù: 6-10",16,[17]
77,3,"""A dozen (or so)â€ù: 11-20",16,[17]
78,4,"""A small crowd,"" ""a couple dozenâ€ù: 21-35",16,[17]
79,5,"""A crowdâ€ù: 36-75",16,[17]
80,6,"""A large crowd,"" ""a hundred or soâ€ù: 76-150",16,[17]
81,7,"""A mass,"" ""hundreds"": 151-500",16,[17]
82,8,"""Several hundredâ€ù: 501-850",16,[17]
83,9,"""About a thousand"": 851-1,300",16,[17]
84,10,"â€œThousands,â€ù â€œa few thousandâ€ù: 1,301-4,500",16,[17]
85,11,"""Several thousand"": 4,501-8,500",16,[17]
